week_end,karma_score,karma_score_7d,forum_activity_score_7d
2022-11-28,8,300,0
2022-12-04,8,0,0
2022-12-11,32,0,0
2022-12-18,32,300,0
2022-12-25,45,300,0
2022-12-28,54,0,0
2023-01-01,54,0,0
2023-01-09,64,300,0
2023-01-10,64,301,1
2023-01-15,64,300,0
2023-01-16,73,300,0
2023-01-22,73,300,0
2023-01-29,79,0,0
2023-02-05,79,300,0
2023-02-12,95,151,1
2023-02-19,101,0,0
2023-02-26,101,0,0
2023-03-24,126,225,0
2023-03-26,126,180,0
2023-04-02,135,300,0
2023-04-09,138,99,0
2023-04-16,138,0,0
2023-04-30,138,0,0
