week_end,dev_contributions,dev_hours,ecoride_contributions,ecoride_hours,marketing_contributions,marketing_hours,ops_contributions,ops_hours
2022-06-05,0,0.00,0,0.00,0,0.00,0,0.00
2022-06-12,0,0.00,0,0.00,0,0.00,0,0.00
2022-06-19,0,0.00,0,0.00,0,0.00,0,0.00
2022-06-26,0,0.00,0,0.00,0,0.00,0,0.00
2022-07-03,0,0.00,0,0.00,0,0.00,0,0.00
2022-07-10,0,0.00,0,0.00,0,0.00,0,0.00
2022-07-17,0,0.00,0,0.00,0,0.00,0,0.00
2022-07-24,0,0.00,0,0.00,0,0.00,0,0.00
2022-07-31,0,0.00,0,0.00,0,0.00,0,0.00
2022-08-07,0,0.00,0,0.00,0,0.00,0,0.00
2022-08-14,0,0.00,0,0.00,0,0.00,0,0.00
2022-08-21,0,0.00,0,0.00,0,0.00,0,0.00
2022-08-28,0,0.00,0,0.00,0,0.00,0,0.00
2022-09-04,0,0.00,0,0.00,0,0.00,0,0.00
2022-09-11,0,0.00,0,0.00,0,0.00,0,0.00
2022-09-18,0,0.00,0,0.00,0,0.00,0,0.00
2022-09-25,0,0.00,0,0.00,0,0.00,0,0.00
2022-10-02,0,0.00,0,0.00,0,0.00,0,0.00
2022-10-09,0,0.00,0,0.00,0,0.00,0,0.00
2022-10-16,0,0.00,0,0.00,0,0.00,0,0.00
2022-10-23,0,0.00,0,0.00,0,0.00,0,0.00
2022-10-30,0,0.00,0,0.00,0,0.00,0,0.00
2022-11-06,0,0.00,0,0.00,0,0.00,0,0.00
2022-11-13,0,0.00,0,0.00,0,0.00,0,0.00
2022-11-20,0,0.00,0,0.00,0,0.00,0,0.00
2022-11-27,0,0.00,0,0.00,0,0.00,0,0.00
2022-12-04,0,0.00,0,0.00,0,0.00,0,0.00
2022-12-11,0,0.00,0,0.00,0,0.00,0,0.00
2022-12-18,0,0.00,0,0.00,0,0.00,0,0.00
2022-12-25,0,0.00,0,0.00,0,0.00,0,0.00
2023-01-01,0,0.00,0,0.00,0,0.00,0,0.00
2023-01-08,0,0.00,0,0.00,0,0.00,0,0.00
2023-01-15,0,0.00,0,0.00,0,0.00,0,0.00
2023-01-22,0,0.00,0,0.00,0,0.00,0,0.00
2023-01-29,0,0.00,0,0.00,0,0.00,0,0.00
2023-02-05,0,0.00,0,0.00,0,0.00,0,0.00
2023-02-12,0,0.00,0,0.00,0,0.00,0,0.00
2023-02-19,0,0.00,0,0.00,0,0.00,0,0.00
2023-02-26,0,0.00,0,0.00,0,0.00,0,0.00
2023-03-05,0,0.00,0,0.00,0,0.00,0,0.00
2023-03-12,0,0.00,0,0.00,0,0.00,0,0.00
2023-03-19,0,0.00,0,0.00,0,0.00,0,0.00
2023-03-26,0,0.00,0,0.00,0,0.00,0,0.00
2023-04-02,0,0.00,0,0.00,0,0.00,0,0.00
2023-04-09,0,0.00,0,0.00,0,0.00,0,0.00
2023-04-16,0,0.00,0,0.00,0,0.00,0,0.00
2023-04-23,0,0.00,0,0.00,0,0.00,0,0.00
2023-04-30,0,0.00,0,0.00,0,0.00,0,0.00
2023-05-07,0,0.00,0,0.00,0,0.00,0,0.00
2023-05-14,0,0.00,0,0.00,0,0.00,0,0.00
2023-05-21,0,0.00,0,0.00,0,0.00,0,0.00
2023-05-28,0,0.00,0,0.00,0,0.00,0,0.00
2023-06-04,0,0.00,0,0.00,0,0.00,0,0.00
2023-06-11,0,0.00,0,0.00,0,0.00,0,0.00
2023-06-18,0,0.00,0,0.00,0,0.00,0,0.00
2023-06-25,0,0.00,0,0.00,0,0.00,0,0.00
2023-07-02,0,0.00,0,0.00,0,0.00,0,0.00
2023-07-09,0,0.00,0,0.00,0,0.00,0,0.00
2023-07-16,0,0.00,0,0.00,0,0.00,0,0.00
2023-07-23,0,0.00,0,0.00,0,0.00,0,0.00
2023-07-30,0,0.00,0,0.00,0,0.00,0,0.00
2023-08-06,0,0.00,0,0.00,0,0.00,0,0.00
2023-08-13,0,0.00,0,0.00,0,0.00,0,0.00
2023-08-20,0,0.00,0,0.00,0,0.00,0,0.00
2023-08-27,0,0.00,0,0.00,0,0.00,0,0.00
2023-09-03,0,0.00,0,0.00,0,0.00,0,0.00
2023-09-10,0,0.00,0,0.00,0,0.00,0,0.00
2023-09-17,0,0.00,0,0.00,0,0.00,0,0.00
2023-09-24,0,0.00,0,0.00,0,0.00,0,0.00
2023-10-01,0,0.00,0,0.00,0,0.00,0,0.00
2023-10-08,0,0.00,0,0.00,0,0.00,0,0.00
2023-10-15,0,0.00,0,0.00,0,0.00,0,0.00
2023-10-22,0,0.00,0,0.00,0,0.00,0,0.00
2023-10-29,125,324.24,0,0.00,0,0.00,77,68.59
2023-11-05,0,0.00,0,0.00,0,0.00,1,0.50
2023-11-12,2,4.50,0,0.00,0,0.00,1,0.50
2023-11-19,2,1.50,0,0.00,0,0.00,2,2.00
2023-11-26,2,1.50,0,0.00,0,0.00,6,5.50
2023-12-03,5,3.00,0,0.00,1,0.33,11,16.50
2023-12-10,3,7.50,0,0.00,0,0.00,9,12.50
2023-12-17,12,22.10,0,0.00,1,2.00,11,10.23
2023-12-24,15,32.33,1,1.00,0,0.00,5,2.82
2023-12-31,8,21.66,0,0.00,0,0.00,5,1.82
2024-01-07,11,24.99,0,0.00,0,0.00,11,5.97
2024-01-14,8,13.83,0,0.00,0,0.00,5,7.32
