week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,is_active
2022-06-05,22.29,,,22.29,false
2022-06-12,3,,,3,false
2022-06-19,7.7,,,7.7,false
2022-06-26,23.31,,,23.31,true
2022-07-03,25,,,25,true
2022-07-10,14.31,,,14.31,true
2022-07-17,25.39,,,25.39,true
2022-07-24,11.5,,,11.5,true
2022-07-31,3.55,,,3.55,true
2022-08-07,19.17,,,19.17,true
2022-08-14,18.05,,,18.05,true
2022-08-21,15.64,,,15.64,true
2022-08-28,8.24,,,8.24,true
2022-09-04,7.77,,,7.77,true
2022-09-11,9.59,,,9.59,true
2022-09-18,6.03,,,6.03,true
2022-09-25,1.37,,,1.37,true
2022-10-02,3.53,,,3.53,true
2022-10-09,9.9,,,9.9,true
2022-10-16,3.36,,,3.36,true
2022-10-23,1.85,,,1.85,true
2022-10-30,7.84,,,7.84,true
2022-11-06,11.69,,,11.69,true
2022-11-13,31.81,,,31.81,true
2022-11-20,7.4,,,7.4,true
2022-11-27,3.31,,,3.31,true
2022-12-04,2.18,,,2.18,true
2022-12-11,3.28,,,3.28,true
2022-12-18,2.95,,,2.95,true
2022-12-25,0.72,,,0.72,false
2023-01-01,4.21,,,4.21,false
2023-01-08,4.59,,,4.59,false
2023-01-15,1.77,,,1.77,false
2023-01-22,1.08,,,1.08,true
2023-01-29,3.64,,,3.64,true
2023-02-05,4.55,,,4.55,true
2023-02-12,2.97,,,2.97,true
2023-02-19,3.98,,,3.98,true
2023-02-26,1.52,,,1.52,true
2023-03-05,1.85,,,1.85,true
2023-03-12,12.13,,,12.13,true
2023-03-19,1.74,,,1.74,true
2023-03-26,1.62,,,1.62,true
2023-04-02,2.09,,,2.09,true
2023-04-09,4.88,,,4.88,true
2023-04-16,3.35,,,3.35,true
2023-04-23,0.91,,,0.91,false
2023-04-30,1.38,,,1.38,false
2023-05-07,1.21,,,1.21,false
2023-05-14,1.22,,,1.22,false
2023-05-21,4.46,,,4.46,true
2023-05-28,5.48,,,5.48,true
2023-06-04,1.36,,,1.36,true
2023-06-11,0.16,,,0.16,false
2023-06-18,0.25,,,0.25,false
2023-06-25,0.03,,,0.03,false
2023-07-02,0.01,,,0.01,false
2023-07-09,0.11,,,0.11,false
2023-07-16,1.08,,,1.08,false
2023-07-23,0.59,,,0.59,false
2023-07-30,0.06,,,0.06,false
2023-08-06,0.01,,,0.01,false
2023-08-13,0,,,0,false
2023-08-20,0,,,0,false
2023-08-27,0,,,0,false
2023-09-03,0,,,0,false
2023-09-10,0,,,0,false
2023-09-17,0,,,0,false
2023-09-24,0,,,0,false
2023-10-01,0,,,0,false
2023-10-08,0,,,0,false
2023-10-15,0,,,0,false
2023-10-22,0,,,0,false
2023-10-29,0,,,0,false
2023-11-05,0,,,0,false
2023-11-12,0,,,0,false
