week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,1.588329073093234,1.588329073093234,0,0
2022-06-05,3.127118719826645,3.127118719826645,0,0
2022-06-12,0.31590348251950023,0.31590348251950023,0,0
2022-06-19,0.03191277573607284,0.03191277573607284,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0.02330893122830406,0.02330893122830406,0,0
2022-08-21,0.23073430979080128,0.23073430979080128,0,0
2022-08-28,0.02337775919579832,0.02337775919579832,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0.06747552903458677,0.06747552903458677,0,0
2022-09-25,0.16380390308731244,0.16380390308731244,0,0
2022-10-02,0.016547572208995755,0.016547572208995755,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
