week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.8271511169277633,0.6663763443546615,0.16077477257310177,0
2022-06-05,0.24592807961012914,0.22967760655369338,0.016250473056435746,0
2022-06-12,0.023202180678716933,0.023202180678716933,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0.08614289813136619,0,0.08614289813136619,0
2022-07-10,0.8527091861903211,0,0.8527091861903211,0
2022-07-17,0.0861412238967546,0,0.0861412238967546,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
