week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.2867770375030093,0.2867770375030093,0,0
2022-06-05,0.12908692290168614,0.12908692290168614,0,0
2022-06-12,0.013040442283876661,0.013040442283876661,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0.01062586154109314,0.01062586154109314,0,0
2022-08-07,0.10518506162596875,0.10518506162596875,0,0
2022-08-14,0.010625860155262172,0.010625860155262172,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
