week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0.018074429496278105,0.018074429496278105,0,0
2022-06-05,0.1581251292235619,0.1581251292235619,0,0
2022-06-12,0.01597390277086877,0.01597390277086877,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0.01772389425002925,0.01772389425002925,0,0
2022-10-23,0.17544827950986325,0.17544827950986325,0,0
2022-10-30,0.1837429209906567,0.1837429209906567,0,0
2022-11-06,0.1197319257003245,0.1197319257003245,0,0
2022-11-13,1.0135749813353288,1.0135749813353288,0,0
2022-11-20,0.3814657434277578,0.3197081463818095,0.06175759704594831,0
2022-11-27,0.14145974821955873,0.14145974821955873,0,0
