week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0,0,0,0
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0.08828912909801397,0.08828912909801397,0,0
2022-06-26,0.8739704797021766,0.8739704797021766,0,0
2022-07-03,8.651401009830634,8.651401009830634,0,0
2022-07-10,0.8739704797022556,0.8739704797022556,0,0
2022-07-17,0.0882891290988015,0.0882891290988015,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0.0704381134557338,0.0704381134557338,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
