week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,0,0,0,0
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0.06,0.02,0,0.04
2023-01-01,0.56,0.15,0,0.41
2023-01-08,5.56,1.52,0,4.03
2023-01-15,17.99,15.08,0,2.9
2023-01-22,1.84,1.52,0,0.31
2023-01-29,0.36,0.15,0,0.21
2023-02-05,1.81,0.02,0,1.79
2023-02-12,5.85,0,0,5.85
2023-02-19,1.79,0,0,1.79
2023-02-26,0.18,0,0,0.18
2023-03-05,0.02,0,0,0.02
2023-03-12,0.01,0,0,0.01
2023-03-19,0.1,0,0,0.1
2023-03-26,1.02,0,0,1.02
2023-04-02,2.58,0,0,2.58
2023-04-09,3.01,0,0,3.01
2023-04-16,2.5,0,0,2.5
2023-04-23,7.96,0,0,7.96
2023-04-30,1.07,0,0,1.07
2023-05-07,2.75,0,0,2.75
2023-05-14,10.93,0,0,10.93
2023-05-21,1.11,0,0,1.11
2023-05-28,0.22,0,0,0.22
2023-06-04,1.06,0,0,1.06
2023-06-11,0.11,0,0,0.11
2023-06-18,0.09,0.08,0,0.01
2023-06-25,0.9,0.82,0.07,0
2023-07-02,0.1,0.1,0,0
2023-07-09,0.14,0.14,0,0
2023-07-16,1.28,1.28,0,0
2023-07-23,12.65,12.65,0,0
2023-07-30,1.28,1.28,0,0
2023-08-06,0.13,0.13,0,0
2023-08-13,0.01,0.01,0,0
2023-08-20,0,0,0,0
2023-08-27,0,0,0,0
2023-09-03,0.03,0.03,0,0
2023-09-10,0.33,0.33,0,0
2023-09-17,3.29,3.29,0,0
2023-09-24,0.33,0.33,0,0
2023-10-01,0.03,0.03,0,0
2023-10-08,0.02,0.02,0,0
2023-10-15,0.12,0.12,0,0
2023-10-22,1.18,1.18,0,0
2023-10-29,0.12,0.12,0,0
2023-11-05,0.01,0.01,0,0
2023-11-12,0,0,0,0
2023-11-19,0,0,0,0
2023-11-26,0,0,0,0
2023-12-03,0,0,0,0
2023-12-10,0,0,0,0
2023-12-17,0,0,0,0
2023-12-24,0,0,0,0
2023-12-31,0,0,0,0
2024-01-07,0,0,0,0
2024-01-14,0,0,0,0
2024-01-21,0,0,0,0
2024-01-28,0,0,0,0
2024-02-04,0,0,0,0
2024-02-11,0,0,0,0
2024-02-18,0,0,0,0
2024-02-25,0,0,0,0
2024-03-03,0,0,0,0
2024-03-10,0,0,0,0
2024-03-17,0,0,0,0
2024-03-24,0,0,0,0
2024-03-31,0,0,0,0
2024-04-07,0,0,0,0
2024-04-14,0,0,0,0
2024-04-21,0,0,0,0
2024-04-28,0,0,0,0
2024-05-05,0,0,0,0
2024-05-12,0,0,0,0
2024-05-19,0,0,0,0
