week_end,sourcecred_score,discord_score,discourse_score,github_score
2022-05-29,0,0,0,0
2022-06-05,0,0,0,0
2022-06-12,0,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0.02015516198238275,0.02015516198238275,0,0
2022-07-03,0.19951465873226273,0.19951465873226273,0,0
2022-07-10,0.020155103407581296,0.020155103407581296,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,0.03371282726391075,0.03371282726391075,0,0
2022-09-04,0.33372219496923494,0.33372219496923494,0,0
2022-09-11,0.03464672425548874,0.03464672425548874,0,0
2022-09-18,0.012744672739869765,0.012744672739869765,0,0
2022-09-25,0.09279987330580367,0.09279987330580367,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
